"path","risk","enhancement_needed","quality","limitations","priority_action"
"backend/app/cache/redis_cache.py","3.9","Yes","Fair","Some broad exception handling may obscure specific failure types","P3: Minor cleanup and monitoring"
"backend/app/config/logging_config.py","3.1","Yes","Good","No major structural limitation observed","P3: Minor cleanup and monitoring"
"backend/app/config/settings.py","3.3","Yes","Good","Dual settings path and encoding artifact strings increase config drift risk","P3: Minor cleanup and monitoring"
"backend/app/db/base.py","2","No","Excellent","No major structural limitation observed","P4: No immediate change needed"
"backend/app/db/session.py","2.5","No","Excellent","No major structural limitation observed","P4: No immediate change needed"
"backend/app/db/supabase_client.py","3.1","Yes","Good","Some broad exception handling may obscure specific failure types","P3: Minor cleanup and monitoring"
"backend/app/main.py","6.1","Yes","Needs Improvement","Hardcoded localhost health checks and permissive CORS defaults","P1: Refactor next sprint; reduce complexity and harden error handling"
"backend/app/middleware/monitoring.py","2.4","No","Excellent","No major structural limitation observed","P4: No immediate change needed"
"backend/app/middleware/prometheus_metrics.py","2","No","Excellent","No major structural limitation observed","P4: No immediate change needed"
"backend/app/middleware/rate_limit.py","3","Yes","Good","No major structural limitation observed","P3: Minor cleanup and monitoring"
"backend/app/middleware/security_headers.py","2.1","No","Excellent","No major structural limitation observed","P4: No immediate change needed"
"backend/app/models/__init__.py","2","No","Excellent","No major structural limitation observed","P4: No immediate change needed"
"backend/app/models/block.py","2.5","No","Excellent","No major structural limitation observed","P4: No immediate change needed"
"backend/app/models/document.py","2","No","Excellent","No major structural limitation observed","P4: No immediate change needed"
"backend/app/models/document_result.py","2","No","Excellent","No major structural limitation observed","P4: No immediate change needed"
"backend/app/models/document_version.py","2","No","Excellent","No major structural limitation observed","P4: No immediate change needed"
"backend/app/models/equation.py","2","No","Excellent","No major structural limitation observed","P4: No immediate change needed"
"backend/app/models/figure.py","2.5","No","Excellent","No major structural limitation observed","P4: No immediate change needed"
"backend/app/models/pipeline_document.py","5.5","Yes","Needs Improvement","High broad exception usage can hide root-cause failures","P2: Improve in upcoming cycle; add focused tests and cleanup"
"backend/app/models/processing_status.py","2","No","Excellent","No major structural limitation observed","P4: No immediate change needed"
"backend/app/models/reference.py","2.5","No","Excellent","No major structural limitation observed","P4: No immediate change needed"
"backend/app/models/review.py","2","No","Excellent","No major structural limitation observed","P4: No immediate change needed"
"backend/app/models/table.py","4","Yes","Fair","Some broad exception handling may obscure specific failure types","P2: Improve in upcoming cycle; add focused tests and cleanup"
"backend/app/models/user.py","2","No","Excellent","No major structural limitation observed","P4: No immediate change needed"
"backend/app/pipeline/__init__.py","2","No","Excellent","No major structural limitation observed","P4: No immediate change needed"
"backend/app/pipeline/agents/__init__.py","2","No","Excellent","No major structural limitation observed","P4: No immediate change needed"
"backend/app/pipeline/agents/adaptive.py","4.4","Yes","Fair","Some broad exception handling may obscure specific failure types","P2: Improve in upcoming cycle; add focused tests and cleanup"
"backend/app/pipeline/agents/advanced_dashboard.py","3","Yes","Good","No major structural limitation observed","P3: Minor cleanup and monitoring"
"backend/app/pipeline/agents/autoscaling.py","5.6","Yes","Needs Improvement","High broad exception usage can hide root-cause failures","P2: Improve in upcoming cycle; add focused tests and cleanup"
"backend/app/pipeline/agents/custom_tools.py","3.3","Yes","Good","No major structural limitation observed","P3: Minor cleanup and monitoring"
"backend/app/pipeline/agents/dashboard.py","2.5","No","Excellent","No major structural limitation observed","P4: No immediate change needed"
"backend/app/pipeline/agents/deep_learning.py","4","Yes","Fair","Some broad exception handling may obscure specific failure types","P2: Improve in upcoming cycle; add focused tests and cleanup"
"backend/app/pipeline/agents/distributed.py","4.4","Yes","Fair","Some broad exception handling may obscure specific failure types","P2: Improve in upcoming cycle; add focused tests and cleanup"
"backend/app/pipeline/agents/document_agent.py","6.3","Yes","Needs Improvement","High broad exception usage can hide root-cause failures","P1: Refactor next sprint; reduce complexity and harden error handling"
"backend/app/pipeline/agents/federated_learning.py","6.8","Yes","Needs Improvement","High broad exception usage can hide root-cause failures","P1: Refactor next sprint; reduce complexity and harden error handling"
"backend/app/pipeline/agents/llm_factory.py","3.9","Yes","Fair","Some broad exception handling may obscure specific failure types","P3: Minor cleanup and monitoring"
"backend/app/pipeline/agents/memory.py","2.6","No","Good","No major structural limitation observed","P4: No immediate change needed"
"backend/app/pipeline/agents/metrics.py","2.7","No","Good","No major structural limitation observed","P4: No immediate change needed"
"backend/app/pipeline/agents/ml_patterns.py","3.6","Yes","Fair","Some broad exception handling may obscure specific failure types","P3: Minor cleanup and monitoring"
"backend/app/pipeline/agents/multi_doc_learning.py","6.4","Yes","Needs Improvement","High broad exception usage can hide root-cause failures","P1: Refactor next sprint; reduce complexity and harden error handling"
"backend/app/pipeline/agents/nextgen_dashboard.py","3","Yes","Good","No major structural limitation observed","P3: Minor cleanup and monitoring"
"backend/app/pipeline/agents/prompts/orchestration_prompt.txt","2","No","Excellent","No major structural limitation observed","P4: No immediate change needed"
"backend/app/pipeline/agents/realtime_adaptation.py","5.2","Yes","Needs Improvement","Some broad exception handling may obscure specific failure types","P2: Improve in upcoming cycle; add focused tests and cleanup"
"backend/app/pipeline/agents/streaming.py","2.4","No","Excellent","No major structural limitation observed","P4: No immediate change needed"
"backend/app/pipeline/agents/tool_marketplace.py","4.1","Yes","Fair","Some broad exception handling may obscure specific failure types","P2: Improve in upcoming cycle; add focused tests and cleanup"
"backend/app/pipeline/agents/tools/figure_tool.py","2.8","No","Good","No major structural limitation observed","P4: No immediate change needed"
"backend/app/pipeline/agents/tools/layout_tool.py","2.8","No","Good","No major structural limitation observed","P4: No immediate change needed"
"backend/app/pipeline/agents/tools/metadata_tool.py","2.8","No","Good","No major structural limitation observed","P4: No immediate change needed"
"backend/app/pipeline/agents/tools/reference_tool.py","2.8","No","Good","No major structural limitation observed","P4: No immediate change needed"
"backend/app/pipeline/agents/tools/validation_tool.py","2.8","No","Good","No major structural limitation observed","P4: No immediate change needed"
"backend/app/pipeline/base.py","2","No","Excellent","No major structural limitation observed","P4: No immediate change needed"
"backend/app/pipeline/classification/__init__.py","2","No","Excellent","No major structural limitation observed","P4: No immediate change needed"
"backend/app/pipeline/classification/classifier.py","4.3","Yes","Fair","Large file size increases cognitive load and regression risk","P2: Improve in upcoming cycle; add focused tests and cleanup"
"backend/app/pipeline/contracts/apa/contract.yaml","2","No","Excellent","No major structural limitation observed","P4: No immediate change needed"
"backend/app/pipeline/contracts/ieee/contract.yaml","2","No","Excellent","No major structural limitation observed","P4: No immediate change needed"
"backend/app/pipeline/contracts/loader.py","2.4","No","Excellent","No major structural limitation observed","P4: No immediate change needed"
"backend/app/pipeline/contracts/none/contract.yaml","2","No","Excellent","No major structural limitation observed","P4: No immediate change needed"
"backend/app/pipeline/contracts/springer/contract.yaml","2","No","Excellent","No major structural limitation observed","P4: No immediate change needed"
"backend/app/pipeline/equations/standardizer.py","3.6","Yes","Fair","Some broad exception handling may obscure specific failure types","P3: Minor cleanup and monitoring"
"backend/app/pipeline/export/__init__.py","2","No","Excellent","No major structural limitation observed","P4: No immediate change needed"
"backend/app/pipeline/export/exporter.py","5.7","Yes","Needs Improvement","Some broad exception handling may obscure specific failure types","P2: Improve in upcoming cycle; add focused tests and cleanup"
"backend/app/pipeline/export/jats_generator.py","2.7","No","Good","No major structural limitation observed","P4: No immediate change needed"
"backend/app/pipeline/export/pdf_exporter.py","2.8","No","Good","No major structural limitation observed","P4: No immediate change needed"
"backend/app/pipeline/figures/__init__.py","2","No","Excellent","No major structural limitation observed","P4: No immediate change needed"
"backend/app/pipeline/figures/analyzer.py","2.8","No","Good","No major structural limitation observed","P4: No immediate change needed"
"backend/app/pipeline/figures/caption_matcher.py","3.6","Yes","Fair","Some broad exception handling may obscure specific failure types","P3: Minor cleanup and monitoring"
"backend/app/pipeline/formatting/__init__.py","2","No","Excellent","No major structural limitation observed","P4: No immediate change needed"
"backend/app/pipeline/formatting/formatter.py","7.3","Yes","High Risk","Large file size increases cognitive load and regression risk","P1: Refactor next sprint; reduce complexity and harden error handling"
"backend/app/pipeline/formatting/numbering.py","2","No","Excellent","No major structural limitation observed","P4: No immediate change needed"
"backend/app/pipeline/formatting/reference_formatter.py","3.3","Yes","Good","No major structural limitation observed","P3: Minor cleanup and monitoring"
"backend/app/pipeline/formatting/section_ordering.py","2","No","Excellent","No major structural limitation observed","P4: No immediate change needed"
"backend/app/pipeline/formatting/style_mapper.py","2","No","Excellent","No major structural limitation observed","P4: No immediate change needed"
"backend/app/pipeline/formatting/template_renderer.py","4.1","Yes","Fair","Some broad exception handling may obscure specific failure types","P2: Improve in upcoming cycle; add focused tests and cleanup"
"backend/app/pipeline/input_conversion/__init__.py","2","No","Excellent","No major structural limitation observed","P4: No immediate change needed"
"backend/app/pipeline/input_conversion/converter.py","5","Yes","Fair","External tool dependency (LibreOffice/Pandoc) and .doc support mismatch risk","P2: Improve in upcoming cycle; add focused tests and cleanup"
"backend/app/pipeline/integrity/cross_ref.py","2","No","Excellent","No major structural limitation observed","P4: No immediate change needed"
"backend/app/pipeline/intelligence/default_guidelines.json","2","No","Excellent","No major structural limitation observed","P4: No immediate change needed"
"backend/app/pipeline/intelligence/rag_engine.py","9.4","Yes","High Risk","Embedding fallback stack is complex; debug print logging present","P0: Refactor urgently; split module, replace broad catches, add targeted tests"
"backend/app/pipeline/intelligence/reasoning_engine.py","10","Yes","High Risk","Provider-coupled logic, heavy fallback branches, print-heavy runtime logs","P0: Refactor urgently; split module, replace broad catches, add targeted tests"
"backend/app/pipeline/intelligence/semantic_parser.py","4.1","Yes","Fair","Some broad exception handling may obscure specific failure types","P2: Improve in upcoming cycle; add focused tests and cleanup"
"backend/app/pipeline/nlp/__init__.py","2","No","Excellent","No major structural limitation observed","P4: No immediate change needed"
"backend/app/pipeline/nlp/analyzer.py","2.7","No","Good","No major structural limitation observed","P4: No immediate change needed"
"backend/app/pipeline/normalization/__init__.py","2","No","Excellent","No major structural limitation observed","P4: No immediate change needed"
"backend/app/pipeline/normalization/normalizer.py","3.1","Yes","Good","No major structural limitation observed","P3: Minor cleanup and monitoring"
"backend/app/pipeline/ocr/__init__.py","2","No","Excellent","No major structural limitation observed","P4: No immediate change needed"
"backend/app/pipeline/ocr/pdf_ocr.py","3.6","Yes","Fair","Some broad exception handling may obscure specific failure types","P3: Minor cleanup and monitoring"
"backend/app/pipeline/orchestrator.py","10","Yes","High Risk","Monolithic workflow, mixed concerns, many broad catches","P0: Refactor urgently; split module, replace broad catches, add targeted tests"
"backend/app/pipeline/parsing/__init__.py","2","No","Excellent","No major structural limitation observed","P4: No immediate change needed"
"backend/app/pipeline/parsing/base_parser.py","2","No","Excellent","No major structural limitation observed","P4: No immediate change needed"
"backend/app/pipeline/parsing/html_parser.py","4.3","Yes","Fair","Some broad exception handling may obscure specific failure types","P2: Improve in upcoming cycle; add focused tests and cleanup"
"backend/app/pipeline/parsing/md_parser.py","4.2","Yes","Fair","Some broad exception handling may obscure specific failure types","P2: Improve in upcoming cycle; add focused tests and cleanup"
"backend/app/pipeline/parsing/nougat_parser.py","5.1","Yes","Needs Improvement","Some broad exception handling may obscure specific failure types","P2: Improve in upcoming cycle; add focused tests and cleanup"
"backend/app/pipeline/parsing/ocr_engine.py","3.4","Yes","Good","Some print-based logging should be moved to structured logger","P3: Minor cleanup and monitoring"
"backend/app/pipeline/parsing/parser.py","7.7","Yes","High Risk","Large file size increases cognitive load and regression risk","P1: Refactor next sprint; reduce complexity and harden error handling"
"backend/app/pipeline/parsing/parser_factory.py","6.7","Yes","Needs Improvement","High print() usage in runtime code reduces structured observability","P1: Refactor next sprint; reduce complexity and harden error handling"
"backend/app/pipeline/parsing/pdf_parser.py","6.2","Yes","Needs Improvement","Large file size increases cognitive load and regression risk","P1: Refactor next sprint; reduce complexity and harden error handling"
"backend/app/pipeline/parsing/table_extractor.py","4","Yes","Fair","Some print-based logging should be moved to structured logger","P2: Improve in upcoming cycle; add focused tests and cleanup"
"backend/app/pipeline/parsing/tex_parser.py","4.6","Yes","Fair","Some broad exception handling may obscure specific failure types","P2: Improve in upcoming cycle; add focused tests and cleanup"
"backend/app/pipeline/parsing/txt_parser.py","2.6","No","Good","No major structural limitation observed","P4: No immediate change needed"
"backend/app/pipeline/references/__init__.py","2","No","Excellent","No major structural limitation observed","P4: No immediate change needed"
"backend/app/pipeline/references/formatter_engine.py","2.8","No","Good","No major structural limitation observed","P4: No immediate change needed"
"backend/app/pipeline/references/normalizer.py","2","No","Excellent","No major structural limitation observed","P4: No immediate change needed"
"backend/app/pipeline/references/parser.py","3.3","Yes","Good","No major structural limitation observed","P3: Minor cleanup and monitoring"
"backend/app/pipeline/safety/__init__.py","2","No","Excellent","No major structural limitation observed","P4: No immediate change needed"
"backend/app/pipeline/safety/circuit_breaker.py","4.6","Yes","Fair","Some broad exception handling may obscure specific failure types","P2: Improve in upcoming cycle; add focused tests and cleanup"
"backend/app/pipeline/safety/llm_validator.py","3.6","Yes","Fair","Some print-based logging should be moved to structured logger","P3: Minor cleanup and monitoring"
"backend/app/pipeline/safety/retry_guard.py","2.8","No","Good","No major structural limitation observed","P4: No immediate change needed"
"backend/app/pipeline/safety/safe_execution.py","2.8","No","Good","No major structural limitation observed","P4: No immediate change needed"
"backend/app/pipeline/safety/validator_guard.py","2.8","No","Good","Some print-based logging should be moved to structured logger","P4: No immediate change needed"
"backend/app/pipeline/services/__init__.py","2","No","Excellent","No major structural limitation observed","P4: No immediate change needed"
"backend/app/pipeline/services/crossref_client.py","2.7","No","Good","No major structural limitation observed","P4: No immediate change needed"
"backend/app/pipeline/services/csl_engine.py","3.3","Yes","Good","No major structural limitation observed","P3: Minor cleanup and monitoring"
"backend/app/pipeline/services/docling_client.py","5.7","Yes","Needs Improvement","Some broad exception handling may obscure specific failure types","P2: Improve in upcoming cycle; add focused tests and cleanup"
"backend/app/pipeline/services/grobid_client.py","3.9","Yes","Fair","No major structural limitation observed","P3: Minor cleanup and monitoring"
"backend/app/pipeline/structure_detection/__init__.py","2","No","Excellent","No major structural limitation observed","P4: No immediate change needed"
"backend/app/pipeline/structure_detection/detector.py","4","Yes","Fair","Some print-based logging should be moved to structured logger","P2: Improve in upcoming cycle; add focused tests and cleanup"
"backend/app/pipeline/structure_detection/heading_rules.py","3","Yes","Good","No major structural limitation observed","P3: Minor cleanup and monitoring"
"backend/app/pipeline/structure_detection/position_rules.py","2.8","No","Good","No major structural limitation observed","P4: No immediate change needed"
"backend/app/pipeline/tables/caption_matcher.py","3.3","Yes","Good","No major structural limitation observed","P3: Minor cleanup and monitoring"
"backend/app/pipeline/tables/extractor.py","3.6","Yes","Fair","Some broad exception handling may obscure specific failure types","P3: Minor cleanup and monitoring"
"backend/app/pipeline/tables/renderer.py","3.5","Yes","Good","Some broad exception handling may obscure specific failure types","P3: Minor cleanup and monitoring"
"backend/app/pipeline/validation/__init__.py","2","No","Excellent","No major structural limitation observed","P4: No immediate change needed"
"backend/app/pipeline/validation/ai_explainer.py","2","No","Excellent","No major structural limitation observed","P4: No immediate change needed"
